"Ochota","Mokotów","Żoliborz","Bemowo","Bródno","Praga"
19.8333333333333,19.05,20.0166666666667,31.5666666666667,27.0166666666667,15.6333333333333
19.8333333333333,19.05,20.0166666666667,31.5666666666667,27.0166666666667,15.4666666666667
19.8333333333333,19.05,20.0166666666667,31.5666666666667,27.0166666666667,16
19.8333333333333,15.8333333333333,20.0166666666667,31.5666666666667,27.0166666666667,15.75
19.8333333333333,17.05,20.0166666666667,25.3333333333333,29.2833333333333,22.4666666666667
18.1666666666667,,19.5666666666667,,29.2833333333333,22.2833333333333
18.1666666666667,,19.5666666666667,,29.1,
39.15,,19.5666666666667,,28.9333333333333,
38.9833333333333,,19.3166666666667,,28.6333333333333,
14.15,,19.3166666666667,,28.6333333333333,
14.15,,19.15,,28.6333333333333,
14.15,,18.9,,31.2833333333333,
13.7166666666667,,18.7166666666667,,31.2833333333333,
13.7166666666667,,19.3166666666667,,31.1166666666667,
14.4333333333333,,19.3166666666667,,30.9333333333333,
14.4333333333333,,19.3166666666667,,27.2833333333333,
14.4333333333333,,19.1333333333333,,27.2833333333333,
15.15,,24.4333333333333,,27.1166666666667,
15.15,,24.25,,26.9333333333333,
15.0166666666667,,23.9,,,
15.0166666666667,,23.75,,,
15.0166666666667,,21.8166666666667,,,
21.4166666666667,,19.4833333333333,,,
21.4166666666667,,19.4833333333333,,,
21.4166666666667,,19.4833333333333,,,
21.4166666666667,,19.4833333333333,,,
,,19.4833333333333,,,
,,17.75,,,
,,17.75,,,
,,17.75,,,
,,17.75,,,
,,18.55,,,
,,18.55,,,
,,18.55,,,
,,18.55,,,
,,18.6666666666667,,,
,,18.6666666666667,,,
,,18.6666666666667,,,
,,18.6666666666667,,,
,,18.7166666666667,,,
,,18.7166666666667,,,
,,18.7166666666667,,,
,,17.3166666666667,,,
,,17.3166666666667,,,
,,17.3166666666667,,,
,,17.3166666666667,,,
,,18.0833333333333,,,
,,18.0833333333333,,,
,,18.0833333333333,,,
,,18.0833333333333,,,
,,17.15,,,
,,17.15,,,
